high_csat,wait_minutes,order_to_issue_minutes,connected_handling_time,log_item_price,channel_name,category,Sub-category,Product_category,Agent Shift,Tenure Bucket,Customer_City
1,2.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Delayed,Unknown,Morning,On Job Training,Unknown
1,1.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Order status enquiry,Unknown,Evening,On Job Training,Unknown
1,3.0,12614.5,427.0,6.597145701886651,Inbound,Product Queries,Product Specific Information,Unknown,Evening,>90,Unknown
1,20.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Delayed,Unknown,Evening,31-60,Unknown
1,9.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Return request,Unknown,Evening,>90,Unknown
1,4.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Evening,31-60,Unknown
1,2.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Evening,>90,Unknown
1,6.0,12614.5,427.0,6.597145701886651,Outcall,Product Queries,Product Specific Information,Unknown,Evening,On Job Training,Unknown
1,3.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Wrong,Unknown,Evening,>90,Unknown
1,1.0,12614.5,427.0,6.597145701886651,Outcall,Order Related,Invoice request,Unknown,Morning,>90,Unknown
0,4.0,19741.0,427.0,6.597145701886651,Inbound,Order Related,Delayed,Mobile,Morning,>90,Other
1,4.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Morning,>90,Unknown
1,50.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Evening,On Job Training,Unknown
1,8.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Order status enquiry,Unknown,Afternoon,>90,Unknown
1,62.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Fraudulent User,Unknown,Evening,>90,Unknown
1,14.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Installation/demo,Unknown,Morning,>90,Unknown
1,5.0,19661.0,427.0,7.1308988302963465,Inbound,Returns,Reverse Pickup Enquiry,LifeStyle,Evening,0-30,Other
1,4.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Return request,Unknown,Evening,On Job Training,Unknown
1,1.0,12614.5,427.0,6.597145701886651,Outcall,Order Related,Seller Cancelled Order,Unknown,Afternoon,>90,Unknown
1,1.0,12614.5,427.0,6.597145701886651,Outcall,Returns,Return request,Unknown,Morning,On Job Training,Unknown
1,2.0,6632.0,427.0,7.912423121473705,Inbound,Order Related,Delayed,Books & General merchandise,Evening,31-60,Other
1,5.0,12614.5,427.0,6.597145701886651,Outcall,Returns,Reverse Pickup Enquiry,Unknown,Morning,31-60,Unknown
1,2.0,12518.0,427.0,5.298317366548036,Inbound,Order Related,Delayed,Home,Evening,31-60,Other
0,3.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Order status enquiry,Unknown,Evening,On Job Training,Unknown
1,7.0,12614.5,427.0,6.597145701886651,Inbound,Shopzilla Related,General Enquiry,Unknown,Morning,>90,Unknown
1,2.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Evening,31-60,Unknown
1,4.0,54300.0,427.0,7.600902459542082,Inbound,Returns,Reverse Pickup Enquiry,Home,Morning,>90,Other
1,1.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Wrong,Unknown,Evening,On Job Training,Unknown
1,24.0,12614.5,427.0,6.597145701886651,Outcall,Order Related,Other,Unknown,Evening,On Job Training,Unknown
1,4.0,6457.0,427.0,4.836281906951478,Inbound,Returns,Missing,Books & General merchandise,Evening,On Job Training,Other
1,7.0,12614.5,427.0,6.597145701886651,Outcall,Returns,Reverse Pickup Enquiry,Unknown,Morning,On Job Training,Unknown
1,4.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Morning,On Job Training,Unknown
1,2.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Order status enquiry,Unknown,Evening,On Job Training,Unknown
1,7.0,12614.5,427.0,6.597145701886651,Outcall,Returns,Missing,Unknown,Morning,31-60,Unknown
1,4.0,12614.5,427.0,6.597145701886651,Outcall,Returns,Service Centres Related,Unknown,Morning,>90,Unknown
0,4.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Priority delivery,Unknown,Morning,0-30,Unknown
1,2.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Morning,31-60,Unknown
1,5.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Morning,On Job Training,Unknown
1,1.0,12614.5,427.0,6.597145701886651,Outcall,Order Related,Delayed,Unknown,Morning,>90,Unknown
1,2.0,9144.0,427.0,5.5909869805108565,Inbound,Cancellation,Not Needed,Electronics,Evening,31-60,Other
0,3.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Morning,31-60,Unknown
1,40.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Order status enquiry,Unknown,Evening,On Job Training,Unknown
1,2.0,21872.0,427.0,5.53338948872752,Inbound,Order Related,Delayed,Books & General merchandise,Evening,>90,Other
0,73.0,12614.5,427.0,6.597145701886651,Inbound,Product Queries,Product Specific Information,Unknown,Morning,On Job Training,Unknown
0,0.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Service Centres Related,Unknown,Evening,61-90,Unknown
1,10.0,12614.5,427.0,6.597145701886651,Inbound,Feedback,UnProfessional Behaviour,Unknown,Morning,>90,Unknown
1,2.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Evening,0-30,Unknown
1,8.0,12614.5,427.0,6.597145701886651,Inbound,Shopzilla Related,General Enquiry,Unknown,Morning,On Job Training,Unknown
1,24.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Missing,Unknown,Morning,>90,Unknown
1,5.0,12614.5,427.0,6.597145701886651,Inbound,Payments related,Online Payment Issues,Unknown,Evening,On Job Training,Unknown
1,11.0,12614.5,427.0,6.597145701886651,Outcall,Returns,Reverse Pickup Enquiry,Unknown,Evening,61-90,Unknown
1,54.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,General Enquiry,Unknown,Afternoon,>90,Unknown
1,91.0,17863.0,427.0,6.597145701886651,Outcall,Returns,Reverse Pickup Enquiry,Mobile,Morning,0-30,Other
1,57.0,12614.5,427.0,6.597145701886651,Outcall,Refund Related,Refund Enquiry,Unknown,Morning,0-30,Unknown
0,6.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Order status enquiry,Unknown,Morning,On Job Training,Unknown
1,0.0,12614.5,427.0,6.597145701886651,Outcall,Payments related,Online Payment Issues,Unknown,Evening,31-60,Unknown
1,3.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Evening,On Job Training,Unknown
1,6.0,12614.5,427.0,6.597145701886651,Outcall,Returns,Reverse Pickup Enquiry,Unknown,Evening,On Job Training,Unknown
1,1.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Delayed,Unknown,Evening,>90,Unknown
0,4.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Morning,On Job Training,Unknown
1,2.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Wrong,Unknown,Evening,61-90,Unknown
1,1.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Afternoon,0-30,Unknown
1,4.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Order status enquiry,Unknown,Evening,On Job Training,Unknown
1,5.0,12614.5,427.0,6.597145701886651,Outcall,Returns,Return request,Unknown,Morning,On Job Training,Unknown
1,30.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Return request,Unknown,Evening,31-60,Unknown
1,1.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Delayed,Unknown,Evening,31-60,Unknown
1,2.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Missing,Unknown,Evening,61-90,Unknown
1,31.0,12614.5,427.0,6.597145701886651,Outcall,Returns,Reverse Pickup Enquiry,Unknown,Evening,>90,Unknown
1,11.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Service Centres Related,Unknown,Morning,On Job Training,Unknown
1,1.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Fraudulent User,Unknown,Morning,On Job Training,Unknown
0,5.0,12614.5,427.0,6.597145701886651,Outcall,Cancellation,Not Needed,Unknown,Morning,On Job Training,Unknown
1,4.0,18491.0,427.0,6.313548046277095,Inbound,Returns,Reverse Pickup Enquiry,Books & General merchandise,Split,>90,Other
1,29.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Evening,31-60,Unknown
1,9.0,12614.5,427.0,6.597145701886651,Outcall,Returns,Return request,Unknown,Morning,31-60,Unknown
1,3.0,12614.5,427.0,6.597145701886651,Outcall,Returns,Reverse Pickup Enquiry,Unknown,Morning,On Job Training,Unknown
1,20.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Split,>90,Unknown
1,2.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Order status enquiry,Unknown,Morning,On Job Training,Unknown
1,27.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Order status enquiry,Unknown,Morning,On Job Training,Unknown
1,9.0,26128.0,427.0,7.600902459542082,Email,Feedback,UnProfessional Behaviour,Electronics,Evening,>90,Other
1,1.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Evening,61-90,Unknown
0,4.0,12614.5,427.0,6.597145701886651,Outcall,Order Related,Order status enquiry,Unknown,Evening,On Job Training,Unknown
1,3.0,12614.5,427.0,6.597145701886651,Inbound,Shopzilla Related,General Enquiry,Unknown,Morning,On Job Training,Unknown
1,4.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Return request,Unknown,Morning,On Job Training,Unknown
1,4.0,12614.5,427.0,6.597145701886651,Outcall,Returns,Wrong,Unknown,Evening,On Job Training,Unknown
1,2.0,12614.5,427.0,6.597145701886651,Outcall,Cancellation,Not Needed,Unknown,Evening,On Job Training,Unknown
1,102.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Invoice request,Unknown,Evening,On Job Training,Unknown
1,3.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Delayed,Unknown,Evening,On Job Training,Unknown
1,2.0,12614.5,427.0,6.597145701886651,Outcall,Returns,Missing,Unknown,Afternoon,>90,Unknown
1,4.0,12614.5,427.0,6.597145701886651,Inbound,Product Queries,Product Specific Information,Unknown,Evening,31-60,Unknown
1,4.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Wrong,Unknown,Evening,On Job Training,Unknown
0,10.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Afternoon,>90,Unknown
1,1.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Morning,On Job Training,Unknown
1,1.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Split,>90,Unknown
1,3.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Delayed,Unknown,Afternoon,61-90,Unknown
1,4.0,12614.5,427.0,6.597145701886651,Outcall,Returns,Reverse Pickup Enquiry,Unknown,Night,>90,Unknown
1,20.0,12614.5,427.0,6.597145701886651,Outcall,Returns,Reverse Pickup Enquiry,Unknown,Morning,>90,Unknown
0,25.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Morning,>90,Unknown
1,18.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Evening,On Job Training,Unknown
1,2.0,14290.0,427.0,5.991464547107982,Inbound,Returns,Reverse Pickup Enquiry,LifeStyle,Evening,31-60,Other
1,4.0,12614.5,427.0,6.597145701886651,Email,Returns,Reverse Pickup Enquiry,Unknown,Morning,On Job Training,Unknown
0,4.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Delayed,Unknown,Morning,0-30,Unknown
0,20.0,12614.5,427.0,6.597145701886651,Outcall,Order Related,Installation/demo,Unknown,Evening,On Job Training,Unknown
0,1.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Morning,On Job Training,Unknown
1,27.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Fraudulent User,Unknown,Evening,>90,Unknown
1,7.0,12614.5,427.0,6.597145701886651,Inbound,Product Queries,Product Specific Information,Unknown,Evening,>90,Unknown
1,1.0,9852.0,427.0,7.313220387090301,Inbound,Returns,Return request,Electronics,Evening,>90,Other
0,4.0,12614.5,427.0,6.597145701886651,Outcall,Returns,Wrong,Unknown,Morning,>90,Unknown
1,2.0,12614.5,427.0,7.575584651557793,Email,Returns,Service Centres Related,Mobile,Evening,31-60,Other
1,4.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Order status enquiry,Unknown,Night,>90,Unknown
0,1.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Order status enquiry,Unknown,Morning,On Job Training,Unknown
1,8.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Installation/demo,Unknown,Evening,On Job Training,Unknown
0,1.0,12614.5,427.0,6.597145701886651,Inbound,Payments related,Other,Unknown,Evening,On Job Training,Unknown
1,1.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Mobile,Morning,31-60,Other
0,11.0,12614.5,427.0,6.597145701886651,Inbound,Shopzilla Related,General Enquiry,Unknown,Morning,>90,Unknown
1,8.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Morning,0-30,Unknown
1,15.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Evening,On Job Training,Unknown
1,2.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Service Centres Related,Unknown,Afternoon,>90,Unknown
0,1.0,12614.5,427.0,6.597145701886651,Outcall,Order Related,Delayed,Unknown,Morning,On Job Training,Unknown
1,4.0,12614.5,427.0,6.597145701886651,Email,Returns,Reverse Pickup Enquiry,Unknown,Morning,>90,Unknown
1,2.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Delayed,Unknown,Split,31-60,Unknown
1,4.0,12614.5,427.0,6.597145701886651,Inbound,Product Queries,Product Specific Information,Unknown,Morning,On Job Training,Unknown
1,0.0,12614.5,427.0,6.907755278982137,Inbound,Returns,Service Centres Related,Electronics,Morning,>90,Other
0,15.0,21373.0,427.0,5.82600010738045,Inbound,Order Related,Delayed,Home,Afternoon,>90,Other
1,64.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Morning,>90,Unknown
1,0.0,14675.0,427.0,6.597145701886651,Inbound,Cancellation,Not Needed,Mobile,Morning,On Job Training,Other
1,3.0,12614.5,427.0,6.597145701886651,Inbound,Shopzilla Related,Other,Unknown,Morning,On Job Training,Unknown
1,9.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Return request,Unknown,Morning,>90,Unknown
1,1.0,13875.0,427.0,5.877735781779639,Inbound,Refund Related,Refund Related Issues,Books & General merchandise,Morning,On Job Training,Other
1,61.0,12614.5,427.0,6.597145701886651,Outcall,Order Related,Order status enquiry,Unknown,Morning,>90,Unknown
