"id";"age";"job";"marital";"education";"default_status";"balance";"housing";"loan";"contact";"day";"month";"duration";"campaign";"pdays";"previous";"outcome";"target"
"44548";"44";"management";"married";"tertiary";"no";"1791.00";"no";"no";"telephone";"12";"aug";"201";"1";"182";"2";"success";"yes"
"44549";"31";"management";"married";"tertiary";"no";"6980.00";"no";"no";"cellular";"12";"aug";"157";"2";"-1";"0";"unknown";"no"
"44550";"49";"services";"married";"primary";"no";"1830.00";"yes";"no";"cellular";"13";"aug";"261";"1";"179";"1";"success";"yes"
"44551";"29";"self-employed";"single";"tertiary";"no";"814.00";"no";"no";NULL;"13";"aug";"461";"1";"-1";"0";"unknown";"yes"
"44552";"67";"housemaid";"divorced";"secondary";"no";"5275.00";"no";"no";"cellular";"13";"aug";"222";"4";"-1";"0";"unknown";"yes"
"44553";"42";"admin.";"divorced";"secondary";"no";"2129.00";"no";"no";"cellular";"13";"aug";"633";"1";"182";"2";"other";"yes"
"44554";"48";"technician";"single";"secondary";"no";"434.00";"no";"no";"cellular";"13";"aug";"183";"1";"-1";"0";"unknown";"no"
"44555";"50";"technician";"divorced";"secondary";"no";"0.00";"yes";"no";"cellular";"13";"aug";"120";"2";"91";"6";"failure";"no"
"44556";"58";"admin.";"married";"secondary";"no";"169.00";"no";"no";"cellular";"13";"aug";"880";"1";"92";"8";"success";"yes"
"44557";"35";"management";"married";"tertiary";"no";"2717.00";"no";"no";"cellular";"13";"aug";"394";"6";"-1";"0";"unknown";"yes"
"44558";"45";"management";"married";"tertiary";"no";"226.00";"yes";"no";"cellular";"13";"aug";"177";"6";"179";"10";"success";"yes"
"44559";"30";"technician";"single";"secondary";"no";"0.00";"no";"no";"cellular";"13";"aug";"173";"4";"562";"1";"failure";"no"
"44560";"30";"services";"single";"secondary";"no";"63.00";"no";"no";NULL;"13";"aug";"75";"1";"-1";"0";"unknown";"no"
"44561";"37";"technician";"married";"tertiary";"no";"341.00";"no";"no";"cellular";"13";"aug";"287";"3";"182";"3";"success";"yes"
"44562";"35";"management";"divorced";"tertiary";"no";"2885.00";"no";"no";"cellular";"13";"aug";"199";"3";"43";"8";"other";"yes"
"44563";"28";"admin.";"single";"secondary";"no";"1408.00";"no";"no";"cellular";"13";"aug";"166";"1";"78";"2";"failure";"no"
"44564";"24";"student";"single";"secondary";"no";"1719.00";"no";"no";"cellular";"13";"aug";"161";"4";"-1";"0";"unknown";"no"
"44565";"34";"management";"single";"secondary";"no";"524.00";"no";"no";NULL;"13";"aug";"9";"1";"-1";"0";"unknown";"no"
"44566";"61";"Ret";"married";"secondary";"no";"523.00";"no";"no";"cellular";"13";"aug";"211";"3";"183";"4";"success";"yes"
"44567";"34";"services";"married";"secondary";"no";"-52.00";"no";"no";NULL;"13";"aug";"12";"1";"-1";"0";"unknown";"no"
"44568";"60";"technician";"divorced";"secondary";"no";"367.00";"no";"no";"cellular";"16";"aug";"318";"2";"-1";"0";"unknown";"yes"
"44569";"39";"admin.";"married";"secondary";"no";"47.00";"yes";"no";"cellular";"16";"aug";"143";"2";"371";"6";"failure";"no"
"44570";"30";"admin.";"single";"secondary";"no";"125.00";"yes";"no";"cellular";"16";"aug";"140";"3";"116";"1";"other";"no"
"44571";"60";"services";"married";"tertiary";"no";"4256.00";"yes";"no";"cellular";"16";"aug";"239";"3";"761";"1";"other";"yes"
"44572";"29";"technician";"single";"secondary";"no";"113.00";"no";"no";"cellular";"16";"aug";"159";"2";"185";"6";"success";"no"
"44573";"33";"technician";"married";"secondary";"no";"484.00";"yes";"no";"cellular";"16";"aug";"205";"3";"182";"9";"success";"yes"
"44574";"25";"services";"single";"secondary";"no";"199.00";"no";"no";"cellular";"16";"aug";"111";"2";"95";"3";"other";"no"
"44575";"29";"management";"single";"tertiary";"no";"1673.00";"no";"no";"cellular";"16";"aug";"200";"2";"159";"3";"other";"no"
"44576";"27";"blue-collar";"single";"secondary";"no";"535.00";"no";"no";"cellular";"16";"aug";"265";"3";"95";"4";"success";"yes"
"44577";"24";"student";"single";"tertiary";"no";"1592.00";"no";"no";"cellular";"16";"aug";"98";"3";"111";"5";"other";"no"
"44578";"27";"admin.";"single";"secondary";"no";"416.00";"no";"no";NULL;"17";"aug";"8";"1";"-1";"0";"unknown";"no"
"44579";"36";"entrepreneur";"married";"secondary";"no";"-280.00";"no";"no";NULL;"17";"aug";"6";"1";"-1";"0";"unknown";"no"
"44580";"53";"admin.";"married";"secondary";"no";"1252.00";"no";"no";"cellular";"17";"aug";"128";"4";"-1";"0";"unknown";"no"
"44581";"65";"Ret";"married";"primary";"no";"1760.00";"no";"no";"cellular";"18";"aug";"855";"4";"-1";"0";"unknown";"yes"
"44582";"37";"management";"single";"tertiary";"no";"688.00";"no";"no";"cellular";"18";"aug";"95";"3";"174";"5";"failure";"no"
"44583";"61";"Ret";"married";"tertiary";"no";"5267.00";"no";"no";"cellular";"18";"aug";"212";"7";"188";"3";"success";"no"
"44584";"24";"student";"single";"secondary";"no";"431.00";"no";"no";"cellular";"19";"aug";"418";"11";"185";"5";"success";"yes"
"44585";"32";"student";"single";"secondary";"no";"14.00";"no";"no";"cellular";"19";"aug";"144";"3";"136";"1";"other";"no"
"44586";"61";"blue-collar";"married";"secondary";"no";"681.00";"yes";"no";"telephone";"19";"aug";"173";"6";"492";"2";"failure";"no"
"44587";"30";"technician";"single";"secondary";"no";"86.00";"no";"no";NULL;"20";"aug";"45";"1";"-1";"0";"unknown";"no"
"44588";"30";"admin.";"single";"secondary";"no";"28.00";"no";"no";NULL;"20";"aug";"107";"1";"-1";"0";"unknown";"no"
"44589";"23";"admin.";"single";"secondary";"no";"366.00";"no";"no";NULL;"20";"aug";"22";"1";"-1";"0";"unknown";"no"
"44590";"21";"student";"single";"secondary";"no";"681.00";"no";"no";NULL;"20";"aug";"6";"1";"-1";"0";"unknown";"no"
"44591";"22";"services";"single";NULL;"no";"739.00";"no";"no";NULL;"20";"aug";"4";"1";"-1";"0";"unknown";"no"
"44592";"26";"student";"single";"secondary";"no";"963.00";"no";"no";NULL;"21";"aug";"11";"1";"304";"1";"other";"no"
"44593";"48";"admin.";"divorced";"secondary";"no";"1033.00";"no";"yes";NULL;"22";"aug";"11";"1";"-1";"0";"unknown";"no"
"44594";"40";"management";"single";"tertiary";"no";"15.00";"no";"yes";NULL;"22";"aug";"4";"1";"-1";"0";"unknown";"no"
"44595";"34";"technician";"single";"tertiary";"no";"2481.00";"no";"no";"cellular";"23";"aug";"220";"16";"192";"14";"other";"no"
"44596";"21";"student";"single";"primary";"no";"281.00";"no";"no";NULL;"24";"aug";"11";"1";"-1";"0";"unknown";"no"
"44597";"28";"services";"single";"secondary";"no";"2685.00";"no";"yes";NULL;"24";"aug";"5";"1";"-1";"0";"unknown";"no"
"44598";"29";"student";"single";"secondary";"no";"1124.00";"no";"no";NULL;"24";"aug";"26";"1";"-1";"0";"unknown";"no"
"44599";"29";"admin.";"married";"secondary";"no";"1937.00";"no";"no";NULL;"25";"aug";"6";"1";"-1";"0";"unknown";"no"
"44600";"35";"admin.";"married";"secondary";"no";"2374.00";"yes";"no";NULL;"25";"aug";"5";"1";"14";"7";"success";"no"
"44601";"38";"blue-collar";"single";"primary";"no";"490.00";"yes";"yes";NULL;"25";"aug";"17";"1";"-1";"0";"unknown";"no"
"44602";"23";"student";"single";"secondary";"no";"43.00";"no";"no";NULL;"27";"aug";"4";"1";"-1";"0";"unknown";"no"
"44603";"45";"services";"single";"secondary";"no";"955.00";"no";"no";NULL;"27";"aug";"3785";"1";"-1";"0";"unknown";"no"
"44604";"20";"student";"single";"primary";"no";"825.00";"no";"no";NULL;"28";"aug";"27";"1";"-1";"0";"unknown";"no"
"44605";"30";"blue-collar";"married";"primary";"no";"124.00";"yes";"no";NULL;"28";"aug";"5";"1";"775";"2";"other";"no"
"44606";"23";"management";"single";"tertiary";"no";"377.00";"no";"no";NULL;"28";"aug";"7";"1";"-1";"0";"unknown";"no"
"44607";"27";"student";"single";"primary";"yes";"25.00";"no";"no";NULL;"28";"aug";"8";"1";"-1";"0";"unknown";"no"
"44608";"34";"entrepreneur";"married";"secondary";"no";"4659.00";"yes";"no";NULL;"30";"aug";"28";"1";"-1";"0";"unknown";"no"
"44609";"57";"Ret";"married";"tertiary";"no";"1269.00";"no";"no";"cellular";"31";"aug";"1120";"1";"-1";"0";"unknown";"yes"
"44610";"36";"management";"married";"tertiary";"no";"5367.00";"no";"no";"cellular";"31";"aug";"324";"1";"455";"2";"failure";"no"
"44611";"63";"admin.";"married";"secondary";"no";"0.00";"yes";"no";"cellular";"31";"aug";"253";"5";"-1";"0";"unknown";"yes"
"44612";"55";"unemployed";"married";"primary";"no";"1212.00";"no";"no";"cellular";"31";"aug";"241";"1";"92";"1";"failure";"no"
"44613";"36";"admin.";"single";"tertiary";"no";"364.00";"no";"yes";"cellular";"31";"aug";"185";"1";"123";"1";"failure";"yes"
"44614";"61";"housemaid";"married";"primary";"no";"211.00";"no";"no";"cellular";"31";"aug";"443";"2";"186";"3";"failure";"yes"
"44615";"52";"self-employed";"married";"tertiary";"no";"4012.00";"no";"no";"cellular";"31";"aug";"634";"3";"92";"5";"other";"yes"
"44616";"34";"admin.";"single";"tertiary";"no";"625.00";"no";"yes";NULL;"31";"aug";"34";"1";"-1";"0";"unknown";"yes"
"44617";"62";"unemployed";"married";"primary";"no";"532.00";"no";"no";"cellular";"31";"aug";"298";"2";"300";"1";"other";"no"
"44618";"31";"technician";"single";"secondary";"no";"18.00";"no";"no";NULL;"31";"aug";"27";"1";"-1";"0";"unknown";"no"
"44619";"60";"management";"married";"tertiary";"no";"474.00";"no";"no";"cellular";"31";"aug";"415";"5";"186";"3";"other";"yes"
"44620";"28";"management";"single";"tertiary";"no";"1584.00";"yes";"no";"cellular";"1";"sep";"222";"2";"-1";"0";"unknown";"yes"
"44621";"69";"technician";"married";"secondary";"no";"2661.00";"no";"no";"cellular";"1";"sep";"925";"1";"187";"3";"other";"no"
"44622";"36";"management";"single";"tertiary";"no";"671.00";"yes";"no";"cellular";"1";"sep";"161";"1";"457";"2";"failure";"no"
"44623";"60";"management";"married";"tertiary";"no";"315.00";"no";"no";"cellular";"1";"sep";"840";"1";"183";"3";"success";"yes"
"44624";"32";"admin.";"married";"secondary";"no";"200.00";"no";"no";"cellular";"1";"sep";"729";"1";"29";"3";"failure";"yes"
"44625";"34";"management";"married";"tertiary";"no";"589.00";"no";"no";"cellular";"1";"sep";"300";"1";"44";"3";"other";"yes"
"44626";"34";"management";"married";"tertiary";"no";"1388.00";"yes";"no";"cellular";"1";"sep";"222";"1";"93";"4";"failure";"no"
"44627";"31";"services";"single";"secondary";"no";"-205.00";"no";"no";"cellular";"1";"sep";"481";"1";"579";"1";"failure";"yes"
"44628";"33";"admin.";"married";"secondary";"no";"394.00";"yes";"no";"telephone";"1";"sep";"104";"3";"-1";"0";"unknown";"no"
"44629";"38";"management";"single";"tertiary";"no";"1704.00";"no";"no";"cellular";"1";"sep";"222";"1";"-1";"0";"unknown";"no"
"44630";"28";"blue-collar";"single";"secondary";"no";"-46.00";"yes";"no";"cellular";"1";"sep";"199";"1";"92";"14";"success";"yes"
"44631";"55";"admin.";"married";"secondary";"no";"8304.00";"no";"no";"cellular";"1";"sep";"193";"1";"92";"1";"success";"yes"
"44632";"65";"Ret";"married";"primary";"no";"308.00";"no";"no";"cellular";"1";"sep";"400";"1";"-1";"0";"unknown";"yes"
"44633";"22";"student";"single";"secondary";"no";"552.00";"no";"no";"cellular";"1";"sep";"327";"1";"-1";"0";"unknown";"yes"
"44634";"65";"Ret";"divorced";"primary";"no";"1840.00";"no";"no";"cellular";"1";"sep";"191";"2";"92";"7";"failure";"no"
"44635";"77";"Ret";"married";"primary";"no";"1492.00";"no";"no";"telephone";"1";"sep";"663";"1";"208";"2";"other";"no"
"44636";"37";"management";"married";"tertiary";"no";"1113.00";"no";"no";"cellular";"1";"sep";"265";"2";"183";"2";"success";"yes"
"44637";"45";"services";"Div";"primary";"no";"523.00";"no";"no";"telephone";"1";"sep";"380";"4";"371";"4";"other";"no"
"44638";"45";"technician";"married";"secondary";"no";"814.00";"no";"no";"cellular";"1";"sep";"691";"2";"-1";"0";"unknown";"no"
"44639";"65";"technician";"married";"secondary";"no";"2303.00";"no";"no";"cellular";"1";"sep";"95";"2";"-1";"0";"unknown";"no"
"44640";"29";"blue-collar";"married";"secondary";"no";"3310.00";"no";"no";"cellular";"1";"sep";"367";"1";"91";"4";"failure";"no"
"44641";"41";"technician";"married";"secondary";"no";"11.00";"yes";"no";"telephone";"1";"sep";"150";"1";"-1";"0";"unknown";"no"
"44642";"35";"management";"single";"tertiary";"no";"992.00";"no";"yes";"cellular";"1";"sep";"238";"1";"-1";"0";"unknown";"yes"
"44643";"33";"admin.";"single";"tertiary";"no";"272.00";"yes";"no";"cellular";"1";"sep";"293";"2";"92";"3";"success";"yes"
"44644";"75";"Ret";"married";"primary";"no";"1413.00";"no";"no";"cellular";"1";"sep";"532";"2";"188";"2";"success";"yes"
"44645";"18";"student";"single";NULL;"no";"438.00";"no";"no";"cellular";"1";"sep";"425";"1";"-1";"0";"unknown";"no"
"44646";"59";"management";"married";"tertiary";"no";"4606.00";"no";"no";"telephone";"1";"sep";"194";"2";"189";"2";"failure";"no"
"44647";"22";"services";"single";"secondary";"no";"361.00";"no";"no";"telephone";"1";"sep";"232";"1";"86";"6";"failure";"no"
"44648";"30";"self-employed";"married";"tertiary";"no";"805.00";"yes";"no";NULL;"1";"sep";"20";"1";"478";"2";"other";"no"
"44649";"28";"services";"married";"secondary";"no";"4.00";"yes";"no";NULL;"2";"sep";"10";"1";"-1";"0";"unknown";"no"
"44650";"27";"admin.";"single";"secondary";"no";"321.00";"no";"yes";NULL;"2";"sep";"4";"1";"-1";"0";"unknown";"no"
"44651";"32";"student";"single";"secondary";"no";"5836.00";"no";"no";"cellular";"2";"sep";"281";"2";"493";"2";"failure";"no"
"44652";"48";"???";"single";NULL;"no";"1819.00";"no";"no";"cellular";"2";"sep";"1440";"1";"458";"1";"failure";"yes"
"44653";"33";"entrepreneur";"single";"tertiary";"no";"1623.00";"yes";"no";"cellular";"2";"sep";"291";"3";"-1";"0";"unknown";"yes"
"44654";"53";"blue-collar";"married";"secondary";"no";"1797.00";"yes";"no";"cellular";"2";"sep";"128";"3";"94";"5";"other";"no"
"44655";"27";"technician";"single";"tertiary";"no";"1075.00";"no";"no";"cellular";"2";"sep";"529";"2";"184";"1";"success";"yes"
"44656";"62";"management";"married";"secondary";"no";"1128.00";"no";"no";"cellular";"2";"sep";"236";"1";"290";"3";"other";"yes"
"44657";"63";"???";"married";"secondary";"no";"367.00";"no";"no";"telephone";"2";"sep";"173";"1";"182";"7";"failure";"no"
"44658";"38";"management";"married";"tertiary";"no";"630.00";"no";"no";"cellular";"2";"sep";"362";"1";"388";"3";"other";"yes"
"44659";"31";"management";"single";"tertiary";"no";"1675.00";"no";"no";"cellular";"2";"sep";"114";"2";"363";"1";"failure";"no"
"44660";"35";"technician";"married";"secondary";"no";"294.00";"yes";"no";"cellular";"2";"sep";"97";"6";"79";"11";"failure";"no"
"44661";"37";"admin.";"single";"tertiary";"no";"635.00";"no";"no";"cellular";"2";"sep";"238";"1";"464";"2";"failure";"no"
"44662";"21";"student";"single";"secondary";"no";"357.00";"no";"no";"cellular";"2";"sep";"115";"3";"-1";"0";"unknown";"no"
"44663";"22";"student";"single";NULL;"no";"549.00";"no";"no";"cellular";"2";"sep";"154";"1";"-1";"0";"unknown";"no"
"44664";"25";"student";"single";"secondary";"no";"2975.00";"no";"no";"cellular";"2";"sep";"799";"2";"-1";"0";"unknown";"yes"
"44665";"41";"unemployed";"single";"tertiary";"no";"7968.00";"no";"no";"cellular";"2";"sep";"404";"1";"184";"4";"success";"yes"
"44666";"25";"student";"single";"secondary";"no";"154.00";"no";"no";"cellular";"2";"sep";"382";"1";"183";"3";"success";"yes"
"44667";"25";"technician";"single";"secondary";"no";"1298.00";"no";"no";"cellular";"2";"sep";"206";"7";"94";"2";"other";"no"
"44668";"48";"management";"married";"tertiary";"no";"1204.00";"no";"no";"cellular";"3";"sep";"116";"2";"760";"1";"other";"no"
"44669";"32";"services";"single";"tertiary";"no";"620.00";"no";"no";"cellular";"3";"sep";"110";"6";"95";"5";"other";"no"
"44670";"88";"Ret";"married";"primary";"no";"648.00";"no";"no";"telephone";"3";"sep";"318";"1";"-1";"0";"unknown";"no"
"44671";"27";"student";"single";"tertiary";"no";"5169.00";"yes";"no";"cellular";"3";"sep";"431";"1";"466";"3";"success";"yes"
"44672";"32";"management";"married";"tertiary";"no";"6138.00";"no";"no";"cellular";"3";"sep";"251";"3";"36";"11";"success";"no"
"44673";"40";"technician";"married";"tertiary";"no";"2627.00";"yes";"no";"cellular";"3";"sep";"240";"3";"-1";"0";"unknown";"no"
"44674";"49";"admin.";"single";"tertiary";"no";"228.00";"yes";"no";"cellular";"3";"sep";"252";"2";"93";"2";"success";"yes"
"44675";"39";"services";"single";"secondary";"no";"91.00";"no";"no";"cellular";"3";"sep";"213";"1";"185";"1";"success";"yes"
"44676";"35";"admin.";"married";"secondary";"no";"1204.00";"no";"no";"cellular";"3";"sep";"789";"2";"-1";"0";"unknown";"no"
"44677";"57";"Ret";"married";"primary";"no";"1947.00";"no";"no";"cellular";"3";"sep";"126";"1";"185";"7";"success";"no"
"44678";"70";"Ret";"divorced";"secondary";"no";"6850.00";"no";"no";"telephone";"3";"sep";"228";"1";"182";"4";"failure";"no"
"44679";"60";"admin.";"married";"secondary";"no";"12980.00";"no";"no";"cellular";"3";"sep";"177";"2";"182";"1";"success";"no"
"44680";"43";"technician";"married";"secondary";"no";"4945.00";"yes";"no";"cellular";"3";"sep";"219";"3";"185";"2";"success";"yes"
"44681";"27";"self-employed";"single";"tertiary";"no";"560.00";"no";"no";"telephone";"3";"sep";"543";"9";"465";"2";"failure";"no"
"44682";"55";"???";"married";"primary";"no";"159.00";"no";"no";NULL;"4";"sep";"15";"1";"-1";"0";"unknown";"no"
"44683";"41";"housemaid";"married";"primary";"no";"379.00";"no";"yes";NULL;"4";"sep";"9";"1";"-1";"0";"unknown";"no"
"44684";"32";"technician";"single";"secondary";"no";"260.00";"yes";"no";NULL;"5";"sep";"13";"1";"656";"7";"other";"no"
"44685";"22";"student";"single";"secondary";"no";"249.00";"no";"no";NULL;"5";"sep";"11";"1";"-1";"0";"unknown";"no"
"44686";"51";"technician";"married";"secondary";"no";"980.00";"no";"no";"cellular";"6";"sep";"114";"2";"-1";"0";"unknown";"no"
"44687";"38";"management";"single";"tertiary";"no";"1027.00";"yes";"no";"cellular";"6";"sep";"387";"2";"188";"3";"success";"no"
"44688";"52";"management";"married";NULL;"no";"1708.00";"no";"no";NULL;"6";"sep";"310";"1";"75";"4";"failure";"yes"
"44689";"83";"housemaid";"married";"primary";"no";"2140.00";"no";"no";"cellular";"6";"sep";"109";"3";"276";"8";"other";"no"
"44690";"48";"management";"married";"tertiary";"no";"0.00";"yes";"no";"cellular";"6";"sep";"194";"2";"125";"6";"failure";"yes"
"44691";"29";"unemployed";"single";NULL;"no";"1584.00";"no";"no";"cellular";"6";"sep";"245";"1";"-1";"0";"unknown";"yes"
"44692";"32";"entrepreneur";"married";"secondary";"no";"390.00";"no";"no";"cellular";"6";"sep";"440";"1";"280";"1";"failure";"yes"
"44693";"43";"admin.";"single";"secondary";"no";"1707.00";"yes";"no";"cellular";"6";"sep";"369";"3";"504";"5";"other";"yes"
"44694";"39";"admin.";"married";"secondary";"no";"179.00";"no";"no";NULL;"6";"sep";"36";"1";"-1";"0";"unknown";"no"
"44695";"65";"admin.";"married";"secondary";"no";"952.00";"no";"no";"cellular";"6";"sep";"255";"1";"96";"1";"success";"yes"
"44696";"72";"Ret";"married";"secondary";"no";"1978.00";"no";"no";"cellular";"6";"sep";"312";"1";"-1";"0";"unknown";"yes"
"44697";"61";"admin.";"divorced";"secondary";"no";"4519.00";"no";"no";"cellular";"6";"sep";"145";"1";"391";"11";"other";"no"
"44698";"33";"blue-collar";"single";"secondary";"no";"329.00";"no";"no";"cellular";"6";"sep";"224";"1";"145";"2";"other";"yes"
"44699";"34";"technician";"married";"secondary";"no";"384.00";"yes";"no";"cellular";"6";"sep";"127";"2";"831";"1";"other";"no"
"44700";"33";"technician";"married";"tertiary";"no";"1126.00";"yes";"no";NULL;"6";"sep";"11";"1";"490";"5";"other";"no"
"44701";"34";"admin.";"married";"tertiary";"no";"1636.00";"yes";"yes";"cellular";"6";"sep";"136";"1";"521";"2";"failure";"no"
"44702";"84";"Ret";"divorced";"primary";"no";"1680.00";"no";"no";"telephone";"6";"sep";"113";"5";"97";"3";"other";"no"
"44703";"26";"technician";"single";"secondary";"no";"1105.00";"yes";"no";"cellular";"6";"sep";"415";"1";"297";"3";"other";"yes"
"44704";"37";"services";"married";"secondary";"no";"52.00";"yes";"no";"cellular";"6";"sep";"908";"1";"185";"9";"success";"yes"
"44705";"52";"management";"married";"tertiary";"no";"2635.00";"no";"no";"cellular";"6";"sep";"313";"1";"108";"8";"success";"no"
"44706";"38";"entrepreneur";"married";"tertiary";"no";"1649.00";"no";"yes";"cellular";"6";"sep";"218";"2";"432";"3";"success";"no"
"44707";"33";"admin.";"married";"secondary";"no";"616.00";"no";"no";NULL;"6";"sep";"35";"1";"-1";"0";"unknown";"no"
"44708";"33";"admin.";"married";"secondary";"no";"616.00";"no";"no";"cellular";"6";"sep";"250";"3";"-1";"0";"unknown";"yes"
"44709";"32";"technician";"single";"secondary";"no";"1089.00";"no";"no";"cellular";"6";"sep";"125";"2";"-1";"0";"unknown";"no"
"44710";"38";"management";"married";"tertiary";"no";"14352.00";"no";"no";NULL;"6";"sep";"8";"1";"-1";"0";"unknown";"no"
"44711";"26";"admin.";"single";"tertiary";"no";"760.00";"yes";"no";"cellular";"6";"sep";"164";"2";"186";"7";"success";"no"
"44712";"53";"admin.";"married";"secondary";"no";"0.00";"no";"no";"telephone";"6";"sep";"353";"1";"655";"5";"failure";"no"
"44713";"34";"unemployed";"single";NULL;"no";"517.00";"no";"no";"cellular";"6";"sep";"791";"3";"-1";"0";"unknown";"no"
"44714";"27";"management";"single";"tertiary";"no";"592.00";"no";"no";"cellular";"7";"sep";"667";"1";"221";"3";"failure";"no"
"44715";"45";"???";"married";"tertiary";"no";"406.00";"no";"no";"cellular";"7";"sep";"314";"1";"-1";"0";"unknown";"yes"
"44716";"27";"services";"single";"secondary";"no";"44.00";"no";"no";NULL;"7";"sep";"11";"1";"-1";"0";"unknown";"no"
"44717";"65";"Ret";"married";"secondary";"no";"1220.00";"no";"no";"cellular";"7";"sep";"127";"1";"186";"2";"failure";"no"
"44718";"37";"management";"married";"tertiary";"no";"6771.00";"no";"no";"cellular";"7";"sep";"337";"1";"186";"1";"success";"yes"
"44719";"31";"technician";"married";"tertiary";"no";"3192.00";"yes";"no";"cellular";"7";"sep";"179";"1";"186";"2";"failure";"no"
"44720";"28";"management";"single";"tertiary";"no";"890.00";"yes";"no";"cellular";"7";"sep";"201";"1";"-1";"0";"unknown";"yes"
"44721";"36";"admin.";"married";"secondary";"no";"194.00";"yes";"yes";"cellular";"7";"sep";"120";"3";"-1";"0";"unknown";"no"
"44722";"26";"unemployed";"single";"secondary";"no";"4.00";"no";"no";NULL;"7";"sep";"8";"1";"-1";"0";"unknown";"no"
"44723";"43";"management";"divorced";"tertiary";"no";"2251.00";"no";"no";"cellular";"7";"sep";"332";"5";"-1";"0";"unknown";"no"
"44724";"61";"Ret";"married";"primary";"no";"56.00";"no";"no";"cellular";"7";"sep";"288";"3";"-1";"0";"unknown";"yes"
"44725";"32";"blue-collar";"married";"primary";"no";"1644.00";"no";"no";"cellular";"7";"sep";"492";"3";"102";"5";"other";"yes"
"44726";"51";"management";"single";"tertiary";"no";"151.00";"yes";"no";"cellular";"8";"sep";"638";"1";"427";"3";"success";"yes"
"44727";"38";"admin.";"married";"secondary";"no";"0.00";"yes";"no";"cellular";"8";"sep";"210";"1";"92";"3";"success";"yes"
"44728";"31";"technician";"married";"tertiary";"no";"1570.00";"yes";"no";"cellular";"8";"sep";"213";"4";"184";"5";"success";"no"
"44729";"46";"admin.";"married";"secondary";"no";"0.00";"yes";"no";"cellular";"8";"sep";"149";"2";"187";"1";"failure";"no"
