@relation 'Telco_Cusomer_Churn-weka.filters.unsupervised.attribute.Remove-R1-2,7-8-weka.filters.unsupervised.attribute.Remove-R1-3,5,7-8,10-11,13,15-16'

@attribute tenure numeric
@attribute OnlineSecurity {No,Yes,'No internet service'}
@attribute TechSupport {No,Yes,'No internet service'}
@attribute Contract {Month-to-month,'One year','Two year'}
@attribute PaymentMethod {'Electronic check','Mailed check','Bank transfer (automatic)','Credit card (automatic)'}
@attribute Churn {No,Yes}

@data
71,'No internet service','No internet service','Two year','Credit card (automatic)',No
38,Yes,Yes,'One year','Credit card (automatic)',Yes
24,No,No,Month-to-month,'Electronic check',Yes
35,No,Yes,Month-to-month,'Credit card (automatic)',No
54,Yes,Yes,'One year','Bank transfer (automatic)',Yes
72,No,Yes,'Two year','Electronic check',No
1,No,No,Month-to-month,'Electronic check',No
9,Yes,No,'One year','Mailed check',No
69,Yes,Yes,'Two year','Bank transfer (automatic)',No
52,No,Yes,Month-to-month,'Credit card (automatic)',No
11,No,Yes,Month-to-month,'Electronic check',No
2,No,No,Month-to-month,'Electronic check',Yes
28,No,No,Month-to-month,'Electronic check',No
17,No,No,Month-to-month,'Credit card (automatic)',No
35,'No internet service','No internet service','Two year','Mailed check',No
8,'No internet service','No internet service','One year','Mailed check',No
46,No,No,'One year','Credit card (automatic)',No
7,No,No,Month-to-month,'Electronic check',Yes
2,No,No,Month-to-month,'Mailed check',Yes
68,No,Yes,'One year','Bank transfer (automatic)',Yes
43,No,No,'Two year','Electronic check',Yes
68,Yes,Yes,'Two year','Electronic check',No
36,No,No,Month-to-month,'Credit card (automatic)',No
63,No,No,Month-to-month,'Electronic check',Yes
32,No,Yes,Month-to-month,'Bank transfer (automatic)',No
71,Yes,Yes,'Two year','Credit card (automatic)',No
66,Yes,No,Month-to-month,'Bank transfer (automatic)',No
63,'No internet service','No internet service','One year','Mailed check',No
41,'No internet service','No internet service','One year','Credit card (automatic)',No
1,No,No,Month-to-month,'Electronic check',No
2,No,No,Month-to-month,'Electronic check',Yes
70,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
23,No,No,Month-to-month,'Electronic check',No
64,Yes,No,'One year','Bank transfer (automatic)',No
37,Yes,Yes,'Two year','Credit card (automatic)',No
17,No,No,'One year','Mailed check',No
7,No,No,Month-to-month,'Electronic check',No
4,No,No,Month-to-month,'Bank transfer (automatic)',Yes
21,Yes,No,Month-to-month,'Electronic check',Yes
10,No,No,Month-to-month,'Bank transfer (automatic)',Yes
16,Yes,No,Month-to-month,'Electronic check',No
64,No,Yes,'Two year','Electronic check',No
27,Yes,No,Month-to-month,'Credit card (automatic)',Yes
42,Yes,No,'One year','Electronic check',No
5,'No internet service','No internet service',Month-to-month,'Mailed check',No
41,No,Yes,'Two year','Bank transfer (automatic)',No
58,No,No,'One year','Credit card (automatic)',No
47,'No internet service','No internet service','Two year','Mailed check',No
18,No,Yes,Month-to-month,'Bank transfer (automatic)',No
5,No,No,Month-to-month,'Bank transfer (automatic)',Yes
23,Yes,No,Month-to-month,'Bank transfer (automatic)',No
1,'No internet service','No internet service',Month-to-month,'Mailed check',No
71,No,No,'One year','Credit card (automatic)',No
72,Yes,Yes,'Two year','Credit card (automatic)',No
33,'No internet service','No internet service','One year','Mailed check',No
2,No,No,Month-to-month,'Electronic check',Yes
24,Yes,Yes,'Two year','Mailed check',No
56,No,Yes,'One year','Credit card (automatic)',No
37,No,No,Month-to-month,'Credit card (automatic)',No
43,No,Yes,'One year','Credit card (automatic)',No
1,No,No,Month-to-month,'Mailed check',No
25,No,Yes,Month-to-month,'Bank transfer (automatic)',Yes
61,Yes,Yes,'Two year','Electronic check',No
17,No,Yes,'One year','Electronic check',No
41,No,Yes,'One year','Bank transfer (automatic)',No
1,No,No,Month-to-month,'Mailed check',Yes
72,Yes,Yes,'Two year','Bank transfer (automatic)',No
1,No,No,Month-to-month,'Credit card (automatic)',Yes
48,No,No,'Two year','Bank transfer (automatic)',No
11,'No internet service','No internet service',Month-to-month,'Mailed check',Yes
55,No,No,Month-to-month,'Electronic check',Yes
42,Yes,Yes,'One year','Electronic check',No
44,No,No,Month-to-month,'Mailed check',No
1,No,No,Month-to-month,'Electronic check',No
27,No,No,Month-to-month,'Bank transfer (automatic)',No
27,No,Yes,Month-to-month,'Bank transfer (automatic)',No
2,No,No,Month-to-month,'Electronic check',No
19,'No internet service','No internet service',Month-to-month,'Mailed check',No
42,No,No,Month-to-month,'Electronic check',No
66,Yes,Yes,'Two year','Credit card (automatic)',No
33,Yes,Yes,Month-to-month,'Bank transfer (automatic)',No
34,No,No,Month-to-month,'Credit card (automatic)',Yes
33,No,Yes,Month-to-month,'Electronic check',No
23,'No internet service','No internet service','One year','Mailed check',No
32,'No internet service','No internet service','One year','Bank transfer (automatic)',No
11,'No internet service','No internet service','One year','Credit card (automatic)',No
69,No,No,Month-to-month,'Credit card (automatic)',Yes
68,Yes,Yes,'One year','Bank transfer (automatic)',No
20,'No internet service','No internet service','Two year','Mailed check',No
72,'No internet service','No internet service','Two year','Credit card (automatic)',No
60,Yes,No,'One year','Bank transfer (automatic)',No
32,No,No,Month-to-month,'Mailed check',No
1,'No internet service','No internet service',Month-to-month,'Mailed check',Yes
1,'No internet service','No internet service',Month-to-month,'Mailed check',Yes
3,No,No,Month-to-month,'Electronic check',Yes
46,'No internet service','No internet service','One year','Bank transfer (automatic)',No
29,No,No,Month-to-month,'Electronic check',No
51,No,Yes,Month-to-month,'Electronic check',No
48,No,No,Month-to-month,'Bank transfer (automatic)',No
16,No,No,Month-to-month,'Bank transfer (automatic)',No
70,No,Yes,'Two year','Bank transfer (automatic)',No
40,'No internet service','No internet service','Two year','Mailed check',No
22,No,No,Month-to-month,'Electronic check',Yes
1,No,No,Month-to-month,'Bank transfer (automatic)',Yes
5,'No internet service','No internet service',Month-to-month,'Mailed check',No
7,No,No,Month-to-month,'Bank transfer (automatic)',No
29,No,Yes,'One year','Credit card (automatic)',No
44,'No internet service','No internet service','One year','Mailed check',No
10,Yes,No,Month-to-month,'Bank transfer (automatic)',No
55,No,No,Month-to-month,'Bank transfer (automatic)',No
52,No,No,'One year','Bank transfer (automatic)',No
10,No,No,Month-to-month,'Electronic check',No
18,No,No,Month-to-month,'Bank transfer (automatic)',No
68,Yes,Yes,'One year','Bank transfer (automatic)',No
61,'No internet service','No internet service',Month-to-month,'Mailed check',Yes
72,Yes,Yes,'Two year','Credit card (automatic)',No
2,Yes,No,Month-to-month,'Electronic check',No
12,No,No,Month-to-month,'Bank transfer (automatic)',Yes
41,'No internet service','No internet service','Two year','Electronic check',No
26,No,Yes,Month-to-month,'Credit card (automatic)',No
36,'No internet service','No internet service','One year','Bank transfer (automatic)',No
72,Yes,Yes,'Two year','Credit card (automatic)',No
35,No,Yes,Month-to-month,'Bank transfer (automatic)',No
1,No,Yes,Month-to-month,'Mailed check',No
16,Yes,Yes,Month-to-month,'Electronic check',No
49,Yes,No,Month-to-month,'Credit card (automatic)',No
54,Yes,Yes,'One year','Mailed check',No
18,Yes,No,Month-to-month,'Electronic check',No
36,No,No,Month-to-month,'Electronic check',No
60,No,No,Month-to-month,'Electronic check',Yes
1,No,No,Month-to-month,'Mailed check',Yes
52,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
8,No,No,Month-to-month,'Electronic check',No
72,Yes,Yes,'Two year','Bank transfer (automatic)',No
64,'No internet service','No internet service','One year','Mailed check',No
22,Yes,Yes,Month-to-month,'Mailed check',No
60,No,Yes,Month-to-month,'Bank transfer (automatic)',No
28,No,No,Month-to-month,'Electronic check',Yes
61,'No internet service','No internet service','Two year','Mailed check',No
24,No,No,Month-to-month,'Electronic check',No
28,No,Yes,'One year','Bank transfer (automatic)',No
30,No,Yes,'Two year','Bank transfer (automatic)',No
2,'No internet service','No internet service',Month-to-month,'Mailed check',No
1,No,No,Month-to-month,'Electronic check',No
6,'No internet service','No internet service',Month-to-month,'Mailed check',No
24,No,No,Month-to-month,'Bank transfer (automatic)',No
4,No,No,Month-to-month,'Electronic check',Yes
7,No,No,Month-to-month,'Electronic check',Yes
72,Yes,Yes,'Two year','Bank transfer (automatic)',No
70,No,Yes,'Two year','Mailed check',No
64,No,Yes,'Two year','Electronic check',No
72,No,No,'One year','Electronic check',No
44,'No internet service','No internet service','Two year','Mailed check',No
13,No,No,Month-to-month,'Electronic check',Yes
17,'No internet service','No internet service','One year','Mailed check',No
1,No,No,Month-to-month,'Electronic check',Yes
9,No,No,Month-to-month,'Mailed check',No
24,Yes,Yes,Month-to-month,'Mailed check',No
1,No,No,Month-to-month,'Electronic check',Yes
24,No,No,Month-to-month,'Electronic check',Yes
35,No,Yes,Month-to-month,'Electronic check',No
7,Yes,Yes,Month-to-month,'Electronic check',No
5,No,Yes,Month-to-month,'Electronic check',Yes
15,No,No,Month-to-month,'Bank transfer (automatic)',Yes
11,'No internet service','No internet service','Two year','Mailed check',No
48,Yes,No,Month-to-month,'Bank transfer (automatic)',Yes
20,No,No,Month-to-month,'Electronic check',No
72,No,Yes,'One year','Bank transfer (automatic)',No
8,No,No,Month-to-month,'Electronic check',Yes
72,No,No,'Two year','Credit card (automatic)',No
15,No,No,Month-to-month,'Electronic check',No
72,No,Yes,'Two year','Bank transfer (automatic)',No
0,Yes,Yes,'Two year','Bank transfer (automatic)',No
1,No,No,Month-to-month,'Electronic check',Yes
63,No,No,'Two year','Bank transfer (automatic)',No
2,No,No,Month-to-month,'Electronic check',No
2,Yes,No,Month-to-month,'Electronic check',Yes
61,No,No,'One year','Bank transfer (automatic)',No
1,'No internet service','No internet service',Month-to-month,'Mailed check',No
22,No,No,'One year','Bank transfer (automatic)',Yes
28,Yes,Yes,Month-to-month,'Mailed check',No
70,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
5,No,No,Month-to-month,'Electronic check',Yes
12,Yes,No,Month-to-month,'Bank transfer (automatic)',Yes
34,Yes,Yes,'One year','Credit card (automatic)',No
71,Yes,No,'Two year','Credit card (automatic)',No
70,Yes,No,'One year','Bank transfer (automatic)',No
52,Yes,Yes,Month-to-month,'Bank transfer (automatic)',No
69,Yes,Yes,'Two year','Credit card (automatic)',No
20,No,No,Month-to-month,'Electronic check',Yes
11,No,No,Month-to-month,'Mailed check',No
2,No,Yes,Month-to-month,'Electronic check',Yes
6,No,Yes,Month-to-month,'Electronic check',Yes
1,'No internet service','No internet service',Month-to-month,'Mailed check',No
20,Yes,Yes,'One year','Credit card (automatic)',No
61,Yes,No,Month-to-month,'Electronic check',No
5,No,No,Month-to-month,'Electronic check',Yes
56,No,Yes,Month-to-month,'Bank transfer (automatic)',No
30,Yes,Yes,Month-to-month,'Credit card (automatic)',No
40,No,Yes,Month-to-month,'Bank transfer (automatic)',Yes
28,Yes,Yes,'One year','Mailed check',No
5,No,No,Month-to-month,'Electronic check',No
27,Yes,No,Month-to-month,'Bank transfer (automatic)',Yes
12,'No internet service','No internet service',Month-to-month,'Credit card (automatic)',No
67,No,No,'One year','Electronic check',No
29,No,No,Month-to-month,'Electronic check',No
55,No,No,Month-to-month,'Bank transfer (automatic)',No
23,No,No,Month-to-month,'Bank transfer (automatic)',Yes
34,No,No,Month-to-month,'Electronic check',Yes
52,Yes,No,'One year','Electronic check',No
72,Yes,Yes,'Two year','Credit card (automatic)',No
