@relation weka_ready_dataset

@attribute Source_Port numeric
@attribute Destination_Port numeric
@attribute Protocol {ICMP,UDP,TCP}
@attribute Packet_Length numeric
@attribute Packet_Type {Data,Control}
@attribute Traffic_Type {HTTP,DNS,FTP}
@attribute Malware_Indicators {IoC_Detected,None}
@attribute Anomaly_Scores numeric
@attribute Alerts_Warnings {No_Alert,Alert_Triggered}
@attribute Attack_Type {Malware,DDoS,Intrusion}
@attribute Attack_Signature {Known_Pattern_B,Known_Pattern_A}
@attribute Severity_Level {Low,Medium,High}
@attribute Network_Segment {Segment_A,Segment_B,Segment_C}
@attribute Firewall_Logs {Log_Data,None}
@attribute IDS_IPS_Alerts {None,Alert_Data}
@attribute Log_Source {Server,Firewall}
@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute Hour numeric
@attribute DayOfWeek numeric
@attribute Source_IP_Numeric numeric
@attribute Dest_IP_Numeric numeric
@attribute Proxy_IP_Numeric numeric
@attribute Action_Taken {Logged,Blocked,Ignored}

@data
19954,11594,UDP,563,Control,DNS,IoC_Detected,25.7,No_Alert,Intrusion,Known_Pattern_B,Medium,Segment_C,Log_Data,Alert_Data,Firewall,2022,5,30,18,0,1161568792,2698013821,0,Ignored
63062,49527,TCP,1313,Control,HTTP,IoC_Detected,69.2,Alert_Triggered,DDoS,Known_Pattern_B,Low,Segment_C,Log_Data,None,Firewall,2022,8,2,19,1,1859089983,2888078927,0,Logged
39208,61136,UDP,350,Control,HTTP,None,77.06,Alert_Triggered,DDoS,Known_Pattern_A,Medium,Segment_A,Log_Data,Alert_Data,Firewall,2023,1,10,12,1,3156764561,1418455328,0,Ignored
12932,47900,TCP,373,Data,DNS,IoC_Detected,3.87,Alert_Triggered,Malware,Known_Pattern_A,Medium,Segment_B,Log_Data,Alert_Data,Server,2020,10,15,19,3,1661517502,1537664509,0,Ignored
11482,16459,ICMP,1155,Control,DNS,None,25.93,Alert_Triggered,Malware,Known_Pattern_A,Low,Segment_B,None,None,Firewall,2021,6,9,18,2,2151548556,73980559,682325594,Blocked
18768,8138,TCP,521,Data,FTP,IoC_Detected,60.57,Alert_Triggered,DDoS,Known_Pattern_B,High,Segment_C,Log_Data,Alert_Data,Server,2020,7,8,8,2,3542820189,1569882245,0,Ignored
41615,15184,ICMP,1346,Data,FTP,IoC_Detected,67.73,No_Alert,Intrusion,Known_Pattern_A,Low,Segment_A,None,Alert_Data,Server,2023,9,23,19,5,3416997604,453336797,0,Blocked
34512,40467,UDP,1311,Control,DNS,IoC_Detected,75.16,No_Alert,DDoS,Known_Pattern_B,Medium,Segment_C,None,Alert_Data,Firewall,2022,5,22,3,6,1937300659,1211668118,0,Blocked
28975,5960,UDP,117,Control,FTP,None,75.46,Alert_Triggered,Malware,Known_Pattern_B,Low,Segment_B,None,None,Server,2022,6,4,20,5,2350721067,1027161847,0,Logged
46111,15554,TCP,1271,Control,HTTP,None,49.03,Alert_Triggered,Malware,Known_Pattern_B,Medium,Segment_C,None,Alert_Data,Firewall,2022,12,29,23,3,1283481529,2388422642,0,Logged
5032,1068,TCP,308,Control,DNS,None,85.28,Alert_Triggered,Intrusion,Known_Pattern_A,Medium,Segment_A,None,None,Server,2023,3,14,7,1,1981274112,1829882936,2583369852,Blocked
58316,54095,TCP,545,Data,DNS,None,6.44,No_Alert,DDoS,Known_Pattern_B,Medium,Segment_A,None,Alert_Data,Firewall,2021,2,13,16,5,3566825106,998963174,0,Ignored
26896,45972,UDP,572,Control,DNS,None,22.17,No_Alert,DDoS,Known_Pattern_B,Low,Segment_B,Log_Data,Alert_Data,Server,2021,5,23,16,6,104922076,2305297290,2898421056,Ignored
1031,40417,TCP,1474,Control,HTTP,IoC_Detected,29.66,No_Alert,DDoS,Known_Pattern_B,Low,Segment_A,None,None,Firewall,2022,12,1,8,3,2859515235,354176591,0,Logged
57124,48417,UDP,1363,Data,FTP,IoC_Detected,10.75,Alert_Triggered,Intrusion,Known_Pattern_A,High,Segment_A,Log_Data,None,Server,2022,7,21,20,3,840862756,1285186628,0,Blocked
32979,3852,UDP,443,Data,DNS,None,42.14,Alert_Triggered,Malware,Known_Pattern_B,High,Segment_A,Log_Data,Alert_Data,Server,2023,6,9,5,4,3262647832,3375868030,274382843,Ignored
59738,44531,TCP,1026,Data,FTP,None,77.73,No_Alert,DDoS,Known_Pattern_B,Low,Segment_A,None,None,Firewall,2020,4,10,18,4,1159533048,1441545503,0,Logged
25022,6593,TCP,554,Control,DNS,IoC_Detected,97.82,Alert_Triggered,Malware,Known_Pattern_B,High,Segment_A,Log_Data,Alert_Data,Firewall,2023,5,16,13,1,2865990174,2892084628,1605011754,Blocked
10584,23178,ICMP,649,Data,HTTP,IoC_Detected,83.36,Alert_Triggered,Intrusion,Known_Pattern_A,High,Segment_C,None,Alert_Data,Server,2020,10,8,4,3,1811414334,757305877,3320737403,Blocked
23934,57206,TCP,1378,Control,DNS,IoC_Detected,40.71,No_Alert,Malware,Known_Pattern_A,Medium,Segment_C,Log_Data,Alert_Data,Firewall,2021,8,20,14,4,1991223935,728006703,341240723,Blocked
57819,10509,ICMP,107,Data,HTTP,None,1.33,Alert_Triggered,DDoS,Known_Pattern_B,High,Segment_A,Log_Data,None,Firewall,2021,5,8,4,5,272759277,407837431,2211463969,Ignored
49005,19289,ICMP,317,Data,HTTP,IoC_Detected,56.92,No_Alert,DDoS,Known_Pattern_A,Low,Segment_A,Log_Data,Alert_Data,Server,2023,1,18,1,2,2055362106,1849075007,1341865627,Ignored
56497,23998,ICMP,875,Data,HTTP,IoC_Detected,0.9,No_Alert,DDoS,Known_Pattern_B,High,Segment_B,None,None,Server,2021,4,16,12,4,3240961286,3208142902,3555495285,Blocked
32348,12619,UDP,576,Data,DNS,None,77.7,No_Alert,DDoS,Known_Pattern_A,Low,Segment_B,Log_Data,None,Firewall,2022,4,28,14,3,1148915402,2825525338,0,Blocked
23870,21385,TCP,619,Data,FTP,IoC_Detected,67.56,Alert_Triggered,Intrusion,Known_Pattern_B,High,Segment_B,Log_Data,None,Server,2023,2,20,6,0,319727670,1150311915,0,Logged
46895,63852,TCP,1224,Data,HTTP,IoC_Detected,91.82,Alert_Triggered,Malware,Known_Pattern_A,Medium,Segment_C,None,Alert_Data,Server,2020,12,13,2,6,2829055381,3544224381,0,Logged
11468,31398,TCP,632,Data,FTP,None,50.13,No_Alert,Malware,Known_Pattern_A,Low,Segment_C,Log_Data,None,Firewall,2022,8,20,7,5,375409723,735817737,0,Logged
30954,3615,UDP,670,Control,HTTP,None,41.53,No_Alert,Intrusion,Known_Pattern_B,Low,Segment_A,Log_Data,None,Server,2022,5,23,4,0,2740800626,613735047,0,Blocked
59009,28541,ICMP,88,Data,HTTP,None,91.21,No_Alert,DDoS,Known_Pattern_B,High,Segment_C,Log_Data,None,Server,2020,1,12,11,6,635547849,3434331833,0,Blocked
38169,9878,TCP,1497,Control,HTTP,None,82.8,Alert_Triggered,Malware,Known_Pattern_B,Low,Segment_C,None,Alert_Data,Server,2021,3,24,9,2,2078878826,2598355538,1651610355,Ignored
35384,2184,ICMP,304,Data,DNS,None,78.85,No_Alert,Intrusion,Known_Pattern_A,High,Segment_A,Log_Data,None,Firewall,2020,1,12,19,6,2660317879,1389723759,2048966855,Ignored
22371,4914,ICMP,1001,Data,HTTP,IoC_Detected,50.69,Alert_Triggered,DDoS,Known_Pattern_A,Low,Segment_A,None,None,Firewall,2021,10,8,21,4,3245170322,3171817494,108966623,Ignored
10510,4024,UDP,1352,Data,HTTP,IoC_Detected,75.3,No_Alert,Malware,Known_Pattern_A,High,Segment_B,None,Alert_Data,Server,2022,8,17,19,2,2053941718,130257916,0,Logged
57482,1091,UDP,548,Data,FTP,None,33.08,No_Alert,DDoS,Known_Pattern_B,Low,Segment_C,None,Alert_Data,Server,2022,8,17,2,2,1077552382,3013707448,509087463,Blocked
7703,19110,UDP,1114,Data,DNS,None,7.27,Alert_Triggered,Intrusion,Known_Pattern_A,High,Segment_B,None,Alert_Data,Server,2020,3,10,4,1,1037694098,2805785149,357014335,Logged
33992,31136,TCP,149,Data,DNS,IoC_Detected,76.68,Alert_Triggered,DDoS,Known_Pattern_B,Low,Segment_A,None,Alert_Data,Server,2022,11,20,17,6,353891725,2276249243,0,Ignored
55666,4791,TCP,548,Data,FTP,IoC_Detected,36.22,Alert_Triggered,Intrusion,Known_Pattern_B,Medium,Segment_C,None,Alert_Data,Firewall,2022,11,17,22,3,3070366161,3450638080,0,Logged
20947,24568,UDP,1106,Control,HTTP,IoC_Detected,13.36,Alert_Triggered,Malware,Known_Pattern_A,High,Segment_C,None,Alert_Data,Firewall,2022,1,8,9,5,1508539155,3021076401,651909079,Logged
38322,33655,UDP,1290,Control,FTP,IoC_Detected,69.01,No_Alert,Intrusion,Known_Pattern_B,Low,Segment_B,None,Alert_Data,Server,2020,3,3,1,1,2644793978,131879264,0,Ignored
15973,29809,UDP,190,Data,DNS,IoC_Detected,4.74,Alert_Triggered,DDoS,Known_Pattern_B,High,Segment_A,None,Alert_Data,Firewall,2021,2,15,5,0,2075729630,381420893,917099801,Logged
5107,60905,ICMP,995,Control,DNS,None,51.66,Alert_Triggered,Malware,Known_Pattern_A,High,Segment_C,Log_Data,None,Firewall,2020,9,13,1,6,3114135688,1795202035,1644700031,Logged
15067,58291,TCP,1342,Control,HTTP,IoC_Detected,83.86,Alert_Triggered,Intrusion,Known_Pattern_A,High,Segment_B,Log_Data,None,Firewall,2022,12,25,7,6,3283170870,851438795,3658418064,Blocked
18782,24516,ICMP,722,Data,HTTP,None,79.61,Alert_Triggered,Malware,Known_Pattern_A,Medium,Segment_C,Log_Data,Alert_Data,Firewall,2021,1,27,22,2,3722128487,617872884,2274752795,Ignored
44364,53766,ICMP,1181,Control,DNS,None,14.95,Alert_Triggered,Malware,Known_Pattern_B,Low,Segment_A,None,Alert_Data,Server,2023,5,30,17,1,1453690290,328960757,0,Blocked
11307,36569,TCP,907,Control,DNS,None,12.1,No_Alert,Malware,Known_Pattern_B,Medium,Segment_B,Log_Data,None,Firewall,2020,6,30,1,1,1189378364,3436921817,1811423625,Logged
62568,27834,ICMP,1427,Data,HTTP,IoC_Detected,3.33,No_Alert,Intrusion,Known_Pattern_A,High,Segment_B,None,None,Server,2020,7,7,3,1,3377857358,231254215,0,Ignored
16019,14834,UDP,793,Control,HTTP,IoC_Detected,18.93,Alert_Triggered,Intrusion,Known_Pattern_A,Low,Segment_B,None,None,Server,2020,3,18,7,2,1033425905,2606414275,0,Blocked
54052,10368,ICMP,686,Control,DNS,None,96.83,No_Alert,DDoS,Known_Pattern_A,Low,Segment_B,None,None,Server,2020,3,9,20,0,786796464,3671510745,0,Ignored
40014,9720,UDP,1092,Data,DNS,None,82.75,Alert_Triggered,Intrusion,Known_Pattern_A,Low,Segment_C,Log_Data,None,Firewall,2023,7,7,19,4,646067152,3188300857,2317907628,Logged
55034,52843,UDP,492,Data,HTTP,None,88.16,Alert_Triggered,Intrusion,Known_Pattern_B,High,Segment_A,None,Alert_Data,Server,2022,12,25,22,6,456775310,786183185,0,Logged
31548,18263,UDP,811,Data,FTP,IoC_Detected,45.33,No_Alert,Malware,Known_Pattern_B,Medium,Segment_C,None,None,Server,2021,4,12,15,0,1445817997,1552230538,0,Blocked
14156,14806,ICMP,1444,Control,HTTP,IoC_Detected,91.08,No_Alert,Intrusion,Known_Pattern_A,Low,Segment_A,None,Alert_Data,Firewall,2021,4,20,21,1,498846905,2991533214,0,Logged
7828,38216,UDP,423,Control,DNS,None,45.27,Alert_Triggered,Intrusion,Known_Pattern_B,Low,Segment_B,Log_Data,None,Firewall,2023,6,6,6,1,2833661730,2854390507,1103769585,Logged
53318,29162,TCP,744,Data,HTTP,IoC_Detected,51.59,No_Alert,Malware,Known_Pattern_B,Low,Segment_A,Log_Data,Alert_Data,Firewall,2021,7,11,5,6,3720061661,2923644107,0,Ignored
15743,33364,TCP,173,Control,HTTP,IoC_Detected,73.69,Alert_Triggered,Intrusion,Known_Pattern_A,Low,Segment_C,Log_Data,Alert_Data,Server,2020,12,24,16,3,3353036918,2681541710,0,Ignored
27274,28937,ICMP,340,Data,HTTP,None,27.25,Alert_Triggered,Intrusion,Known_Pattern_A,High,Segment_B,None,None,Server,2023,9,13,2,2,739799104,1193029490,0,Blocked
13393,3334,ICMP,1082,Control,FTP,None,81.43,Alert_Triggered,Malware,Known_Pattern_A,Low,Segment_A,Log_Data,None,Server,2023,1,23,9,0,1799767773,649081125,564086175,Logged
35332,61817,ICMP,876,Control,DNS,None,89.28,No_Alert,Intrusion,Known_Pattern_A,Low,Segment_A,None,None,Firewall,2022,4,5,1,1,1982103877,522790421,3172338465,Blocked
47821,52974,UDP,1319,Data,DNS,IoC_Detected,43.95,No_Alert,Intrusion,Known_Pattern_A,Medium,Segment_B,Log_Data,None,Firewall,2020,9,30,7,2,1282394696,707307623,0,Ignored
4384,31482,TCP,976,Data,DNS,IoC_Detected,1.31,Alert_Triggered,DDoS,Known_Pattern_A,Medium,Segment_A,None,Alert_Data,Firewall,2023,8,6,9,6,2491312585,2097497535,0,Blocked
27807,53451,UDP,985,Control,HTTP,None,98.14,Alert_Triggered,Malware,Known_Pattern_B,High,Segment_A,None,None,Server,2022,11,20,4,6,2194443043,2779076965,0,Logged
39737,17067,ICMP,902,Data,FTP,IoC_Detected,84.95,No_Alert,Malware,Known_Pattern_A,Medium,Segment_B,None,Alert_Data,Firewall,2020,3,17,7,1,1693950982,2596115505,0,Logged
16224,48472,UDP,889,Control,HTTP,IoC_Detected,14.56,No_Alert,Malware,Known_Pattern_B,Medium,Segment_C,Log_Data,None,Firewall,2020,8,8,23,5,1489784582,1083814254,1579291986,Blocked
31907,51180,TCP,1492,Data,HTTP,None,31.8,No_Alert,Malware,Known_Pattern_B,Medium,Segment_B,Log_Data,None,Firewall,2022,3,21,14,0,2516443959,1294507649,0,Logged
26586,17971,UDP,787,Control,DNS,IoC_Detected,3.7,Alert_Triggered,Malware,Known_Pattern_B,Low,Segment_A,None,None,Server,2023,2,13,19,0,2694097079,3592690338,1823453721,Logged
25179,13739,ICMP,1070,Control,HTTP,None,97.64,No_Alert,Intrusion,Known_Pattern_B,Medium,Segment_C,None,None,Server,2022,10,13,4,3,1268823185,2508059604,524930042,Logged
47513,9156,UDP,1455,Control,FTP,IoC_Detected,58.19,Alert_Triggered,DDoS,Known_Pattern_A,High,Segment_C,None,None,Firewall,2021,11,24,20,2,2836765567,2871455530,77099926,Ignored
12215,50585,TCP,640,Control,HTTP,None,10.44,Alert_Triggered,Intrusion,Known_Pattern_A,Medium,Segment_C,Log_Data,Alert_Data,Server,2021,12,31,11,4,1556105701,1213024777,0,Blocked
19199,27928,ICMP,1178,Data,HTTP,IoC_Detected,5.39,Alert_Triggered,Malware,Known_Pattern_B,High,Segment_C,Log_Data,Alert_Data,Server,2021,10,25,4,0,2176702607,3318356896,968928922,Ignored
26123,7023,ICMP,158,Data,HTTP,IoC_Detected,91.79,No_Alert,Intrusion,Known_Pattern_A,Medium,Segment_B,None,None,Server,2022,4,25,20,0,1021304871,3669747904,758761653,Ignored
22345,60531,ICMP,1409,Data,FTP,IoC_Detected,70.26,Alert_Triggered,Intrusion,Known_Pattern_B,Low,Segment_C,None,Alert_Data,Server,2022,3,17,23,3,2887447943,360969909,2835395271,Ignored
55305,60529,UDP,866,Control,DNS,None,86.55,No_Alert,Malware,Known_Pattern_A,Medium,Segment_B,Log_Data,None,Firewall,2022,11,3,14,3,960518341,1974792815,2019174850,Ignored
48262,22039,TCP,343,Data,HTTP,IoC_Detected,11.11,No_Alert,Malware,Known_Pattern_B,Medium,Segment_C,None,None,Firewall,2023,3,31,19,4,2422398808,2040903691,0,Blocked
22623,16469,ICMP,531,Data,FTP,None,71.02,No_Alert,DDoS,Known_Pattern_B,Low,Segment_C,Log_Data,None,Server,2020,11,22,13,6,3645160616,3308382148,2596429594,Ignored
28872,35773,ICMP,1387,Control,DNS,None,51.68,No_Alert,Malware,Known_Pattern_B,Medium,Segment_C,Log_Data,Alert_Data,Firewall,2020,4,5,9,6,3443463786,1081058347,0,Ignored
33910,47951,TCP,715,Control,HTTP,None,43.23,No_Alert,DDoS,Known_Pattern_A,High,Segment_C,Log_Data,None,Firewall,2020,12,9,14,2,3638022930,3070654791,0,Ignored
42864,48696,ICMP,765,Control,DNS,IoC_Detected,47.31,Alert_Triggered,Intrusion,Known_Pattern_A,Low,Segment_C,Log_Data,Alert_Data,Server,2022,10,30,5,6,1045131597,3636731038,3351380660,Blocked
52040,21434,TCP,646,Data,DNS,None,77.67,No_Alert,Intrusion,Known_Pattern_B,Low,Segment_C,None,None,Server,2020,10,18,14,6,998433023,1245329966,1158972001,Ignored
48973,47133,TCP,1142,Control,HTTP,IoC_Detected,20.66,Alert_Triggered,Intrusion,Known_Pattern_B,Low,Segment_A,None,None,Server,2023,7,7,17,4,2928868475,1796738667,1204537859,Ignored
8137,20031,ICMP,1005,Control,FTP,IoC_Detected,90.92,Alert_Triggered,Malware,Known_Pattern_A,Low,Segment_C,None,Alert_Data,Firewall,2023,7,10,14,0,722806512,699482033,2459322968,Blocked
55509,5152,ICMP,984,Data,FTP,None,64.89,No_Alert,DDoS,Known_Pattern_A,Low,Segment_B,None,None,Server,2022,6,18,23,5,2361887076,1978363764,0,Logged
41801,19629,UDP,512,Data,HTTP,IoC_Detected,77.07,Alert_Triggered,Intrusion,Known_Pattern_A,Low,Segment_A,None,None,Server,2023,8,11,9,4,2417598191,1841647763,3016808186,Blocked
62889,50054,UDP,1191,Data,DNS,IoC_Detected,53.38,No_Alert,Intrusion,Known_Pattern_A,Low,Segment_B,Log_Data,Alert_Data,Server,2021,10,3,0,6,3463068080,1369762200,0,Logged
45613,2799,ICMP,527,Control,DNS,None,22.74,No_Alert,DDoS,Known_Pattern_A,High,Segment_A,Log_Data,None,Firewall,2023,6,28,4,2,2074851560,1854176789,0,Logged
59752,42693,TCP,1388,Control,FTP,None,81.87,No_Alert,Malware,Known_Pattern_B,High,Segment_B,None,None,Firewall,2021,1,4,15,0,2758048495,1652255565,0,Blocked
51523,35455,TCP,425,Control,DNS,None,98.62,No_Alert,DDoS,Known_Pattern_A,High,Segment_A,None,Alert_Data,Firewall,2023,8,19,16,5,1523849016,1151329373,0,Logged
13158,15042,UDP,491,Control,FTP,None,14.41,No_Alert,DDoS,Known_Pattern_B,High,Segment_C,None,None,Firewall,2023,8,11,7,4,404133146,2450876157,0,Blocked
18221,25776,ICMP,668,Control,HTTP,IoC_Detected,41.28,Alert_Triggered,DDoS,Known_Pattern_B,Medium,Segment_A,Log_Data,Alert_Data,Server,2023,3,13,10,0,3270157002,2469658184,0,Ignored
23041,49310,TCP,1127,Data,DNS,None,36.28,No_Alert,DDoS,Known_Pattern_B,High,Segment_B,None,Alert_Data,Firewall,2021,1,31,2,6,2072638036,3670500598,901709507,Logged
62891,50690,TCP,1292,Control,FTP,IoC_Detected,61.3,Alert_Triggered,Malware,Known_Pattern_A,High,Segment_A,None,None,Firewall,2020,10,8,4,3,1216683976,1763135620,1068612081,Ignored
2887,60489,UDP,1026,Data,DNS,IoC_Detected,36.95,Alert_Triggered,Intrusion,Known_Pattern_A,Medium,Segment_B,None,Alert_Data,Firewall,2020,7,15,6,2,3225913253,154530562,0,Ignored
40397,45649,TCP,712,Control,FTP,IoC_Detected,55.44,Alert_Triggered,Intrusion,Known_Pattern_B,High,Segment_A,Log_Data,Alert_Data,Firewall,2020,3,24,5,1,2948943614,1319897953,2647184486,Logged
54438,5822,ICMP,1310,Data,HTTP,None,69.73,No_Alert,Malware,Known_Pattern_A,Medium,Segment_B,None,Alert_Data,Firewall,2021,12,20,10,0,876368979,2419993631,0,Ignored
20302,11700,UDP,1409,Data,HTTP,IoC_Detected,2.88,No_Alert,Intrusion,Known_Pattern_A,Medium,Segment_C,Log_Data,Alert_Data,Server,2022,8,19,13,4,786644990,3404911671,0,Logged
33051,29949,UDP,939,Data,HTTP,IoC_Detected,23.53,Alert_Triggered,DDoS,Known_Pattern_B,Medium,Segment_B,Log_Data,None,Firewall,2021,12,22,6,2,939428168,3483215329,449363023,Blocked
39597,14517,UDP,361,Control,DNS,None,97.16,Alert_Triggered,Intrusion,Known_Pattern_B,Low,Segment_B,None,None,Server,2023,6,21,0,2,2655015093,795389915,2753918563,Blocked
58860,54145,ICMP,723,Control,FTP,None,32.02,No_Alert,Malware,Known_Pattern_B,Medium,Segment_A,None,None,Firewall,2021,10,20,10,2,3451585638,3434454016,2339426313,Ignored
63422,60576,TCP,1409,Data,DNS,IoC_Detected,2.26,Alert_Triggered,Malware,Known_Pattern_B,Medium,Segment_B,Log_Data,Alert_Data,Firewall,2022,5,29,9,6,1235406586,1237927686,3194877989,Blocked
